Species	Tissue	Cell type	Cell marker	Marker grade
Arabidopsis thaliana	Root	Atrichoblast	AT2G18980	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G20562	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G20625	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G20750	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G20960	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G21045	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G21880	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G22170	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G22970	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G23620	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G23690	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G23770	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G23960	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G24040	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G26710	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G27660	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G28160	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G29730	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G29960	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G30230	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G30340	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G30930	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G32020	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G32270	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G33510	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G33710	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G33790	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G34300	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G34410	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G35387	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G35860	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G35880	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G35930	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G36910	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G37130	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G37430	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G38120	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G38480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G39200	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G39410	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G39530	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G39770	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G39900	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G40230	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G40470	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G40475	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G40610	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G41110	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G42060	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G42570	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G43020	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G43330	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G43340	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G43590	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G43880	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G43890	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G44490	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G44740	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G44790	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G45400	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G45450	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G46150	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G46410	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G46495	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G46740	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G46780	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G46995	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G47000	Marker #2
